furnishingstatus,area,bedrooms,bathrooms,stories,parking,guestroom,basement,hotwaterheating,airconditioning,mainroad,prefarea,price
,7950.0,5.0,2.0,2.0,2.0,no,yes,yes,no,yes,no,8400000.0
semi-furnished,5500.0,4.0,2.0,2.0,1.0,no,yes,no,yes,yes,yes,8400000.0
unfurnished,7475.0,3.0,2.0,4.0,2.0,no,no,no,yes,yes,no,8400000.0
semi-furnished,7000.0,3.0,1.0,4.0,2.0,no,no,no,yes,yes,no,8400000.0
furnished,4880.0,4.0,2.0,2.0,1.0,no,no,no,yes,yes,yes,8295000.0
unfurnished,5960.0,3.0,3.0,2.0,1.0,yes,yes,no,no,yes,no,8190000.0
furnished,6840.0,5.0,1.0,2.0,1.0,yes,yes,no,yes,yes,no,8120000.0
furnished,7000.0,3.0,2.0,4.0,2.0,no,no,no,yes,yes,no,8080940.0
furnished,7482.0,3.0,2.0,3.0,1.0,no,no,yes,no,yes,yes,8043000.0
furnished,,4.0,2.0,4.0,2.0,no,no,no,yes,yes,no,7980000.0
unfurnished,6000.0,3.0,1.0,4.0,2.0,yes,no,no,yes,yes,no,7962500.0
semi-furnished,6000.0,4.0,2.0,4.0,,no,no,no,yes,yes,no,7910000.0
furnished,6550.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,yes,7875000.0
furnished,6360.0,3.0,2.0,4.0,0.0,no,no,no,yes,yes,yes,7840000.0
unfurnished,6480.0,3.0,2.0,4.0,2.0,no,no,no,yes,yes,no,7700000.0
semi-furnished,6000.0,4.0,2.0,4.0,2.0,no,no,no,no,yes,no,7700000.0
furnished,6000.0,4.0,2.0,4.0,1.0,no,no,no,,yes,no,7560000.0
semi-furnished,6000.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,no,7560000.0
furnished,6000.0,3.0,2.0,4.0,1.0,no,no,no,yes,yes,no,7525000.0
furnished,6600.0,3.0,1.0,4.0,3.0,no,no,no,yes,yes,yes,7490000.0
unfurnished,4300.0,3.0,2.0,2.0,1.0,no,yes,no,no,yes,no,7455000.0
semi-furnished,7440.0,3.0,2.0,1.0,0.0,yes,yes,no,yes,yes,yes,7420000.0
unfurnished,7440.0,3.0,2.0,4.0,1.0,no,no,no,no,yes,yes,7420000.0
unfurnished,6325.0,3.0,1.0,4.0,1.0,no,no,no,yes,yes,no,7420000.0
furnished,6000.0,4.0,2.0,4.0,1.0,yes,no,no,yes,yes,no,7350000.0
semi-furnished,5150.0,3.0,2.0,4.0,2.0,no,no,no,yes,yes,no,7350000.0
semi-furnished,6000.0,3.0,2.0,2.0,1.0,yes,no,no,yes,yes,no,7350000.0
unfurnished,6000.0,3.0,1.0,2.0,1.0,no,,no,yes,yes,no,7350000.0
semi-furnished,11440.0,4.0,1.0,2.0,1.0,no,yes,no,no,yes,yes,7343000.0
furnished,9000.0,4.0,2.0,4.0,1.0,yes,no,no,yes,yes,yes,7245000.0
semi-furnished,7680.0,4.0,2.0,4.0,1.0,yes,no,no,yes,yes,no,7210000.0
furnished,6000.0,3.0,2.0,4.0,1.0,yes,no,no,yes,yes,no,7210000.0
semi-furnished,6000.0,3.0,2.0,2.0,1.0,yes,no,no,no,yes,no,7140000.0
semi-furnished,8880.0,2.0,1.0,1.0,1.0,no,no,no,yes,yes,no,7070000.0
furnished,6240.0,4.0,2.0,2.0,1.0,no,no,no,yes,yes,no,7070000.0
furnished,6360.0,4.0,2.0,3.0,2.0,no,no,no,yes,yes,yes,7035000.0
furnished,11175.0,3.0,1.0,1.0,1.0,no,yes,no,yes,yes,yes,7000000.0
furnished,8880.0,3.0,2.0,2.0,1.0,no,yes,no,yes,yes,no,6930000.0
furnished,13200.0,2.0,1.0,1.0,1.0,no,yes,yes,no,yes,no,6930000.0
unfurnished,7700.0,3.0,2.0,1.0,2.0,no,no,no,,yes,no,6895000.0
furnished,6000.0,3.0,1.0,1.0,1.0,no,no,no,yes,yes,no,6860000.0
furnished,12090.0,4.0,2.0,2.0,2.0,no,no,no,no,yes,yes,6790000.0
semi-furnished,4000.0,3.0,2.0,2.0,0.0,no,yes,no,yes,yes,yes,6790000.0
unfurnished,6000.0,4.0,2.0,4.0,0.0,no,no,no,yes,yes,,6755000.0
unfurnished,5020.0,3.0,1.0,4.0,0.0,no,no,no,yes,yes,yes,
furnished,6600.0,2.0,2.0,4.0,0.0,no,yes,no,no,yes,yes,6685000.0
furnished,4040.0,3.0,1.0,2.0,1.0,no,yes,yes,no,yes,no,6650000.0
semi-furnished,4260.0,4.0,2.0,2.0,0.0,no,no,yes,no,yes,no,6650000.0
furnished,6420.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,yes,6650000.0
furnished,6500.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,yes,6650000.0
furnished,5700.0,3.0,1.0,1.0,2.0,yes,yes,no,yes,yes,yes,6650000.0
furnished,6000.0,3.0,2.0,3.0,0.0,yes,no,no,yes,yes,no,6650000.0
semi-furnished,6000.0,3.0,1.0,2.0,1.0,no,no,yes,no,yes,yes,6629000.0
semi-furnished,4000.0,3.0,2.0,2.0,1.0,no,yes,no,yes,yes,no,6615000.0
furnished,10500.0,3.0,2.0,1.0,1.0,no,yes,no,yes,yes,yes,6615000.0
semi-furnished,6000.0,3.0,2.0,4.0,0.0,no,no,no,yes,yes,no,6580000.0
semi-furnished,3760.0,3.0,1.0,2.0,2.0,no,no,yes,no,yes,,6510000.0
furnished,8250.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,no,6510000.0
unfurnished,6670.0,3.0,1.0,3.0,,no,yes,no,no,yes,yes,6510000.0
semi-furnished,3960.0,3.0,1.0,1.0,2.0,no,yes,no,no,yes,no,6475000.0
unfurnished,7410.0,3.0,1.0,1.0,2.0,yes,yes,no,yes,yes,yes,6475000.0
furnished,8580.0,5.0,3.0,2.0,2.0,no,no,no,no,yes,no,6440000.0
semi-furnished,5000.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,6440000.0
furnished,6750.0,2.0,1.0,1.0,2.0,yes,yes,no,no,yes,yes,
furnished,4800.0,3.0,2.0,4.0,0.0,yes,no,no,yes,yes,no,6405000.0
semi-furnished,7200.0,3.0,2.0,1.0,3.0,no,yes,no,yes,yes,no,6300000.0
semi-furnished,6000.0,4.0,2.0,4.0,1.0,no,no,no,no,yes,no,6300000.0
semi-furnished,4100.0,,2.0,3.0,2.0,no,no,no,yes,yes,no,6300000.0
furnished,9000.0,3.0,1.0,1.0,1.0,no,yes,,no,yes,yes,6300000.0
semi-furnished,6400.0,3.0,1.0,1.0,1.0,yes,yes,no,yes,yes,yes,6300000.0
unfurnished,6600.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,yes,6293000.0
unfurnished,6000.0,4.0,1.0,3.0,0.0,yes,yes,no,no,yes,yes,6265000.0
unfurnished,6600.0,3.0,2.0,1.0,0.0,no,yes,no,yes,yes,yes,6230000.0
unfurnished,5500.0,3.0,1.0,3.0,1.0,no,no,no,no,yes,yes,6230000.0
semi-furnished,5500.0,3.0,2.0,4.0,1.0,yes,no,no,yes,yes,no,6195000.0
furnished,6350.0,3.0,2.0,3.0,0.0,yes,no,no,yes,yes,no,6195000.0
furnished,5500.0,3.0,2.0,1.0,2.0,yes,yes,no,no,yes,yes,6195000.0
unfurnished,4500.0,3.0,1.0,4.0,0.0,no,no,no,yes,yes,no,
semi-furnished,5450.0,4.0,2.0,1.0,0.0,no,yes,no,yes,yes,yes,6160000.0
unfurnished,6420.0,3.0,1.0,3.0,0.0,no,yes,no,no,yes,yes,6125000.0
semi-furnished,3240.0,4.0,1.0,3.0,1.0,no,no,no,no,,no,6107500.0
semi-furnished,6615.0,4.0,2.0,2.0,1.0,yes,no,yes,no,yes,no,6090000.0
semi-furnished,6600.0,3.0,1.0,1.0,2.0,yes,yes,no,no,yes,yes,6090000.0
unfurnished,8372.0,3.0,1.0,3.0,2.0,no,no,no,yes,yes,no,6090000.0
furnished,4300.0,6.0,2.0,2.0,0.0,no,no,no,no,yes,no,6083000.0
furnished,9620.0,3.0,1.0,,2.0,no,yes,no,no,yes,yes,6083000.0
furnished,6800.0,2.0,1.0,1.0,2.0,yes,yes,no,no,yes,no,6020000.0
semi-furnished,8000.0,3.0,1.0,1.0,2.0,yes,yes,no,yes,yes,yes,6020000.0
unfurnished,6900.0,3.0,2.0,1.0,0.0,yes,yes,no,no,yes,,6020000.0
furnished,3700.0,4.0,1.0,2.0,0.0,yes,no,no,yes,yes,no,5950000.0
furnished,6420.0,3.0,1.0,1.0,0.0,no,yes,no,yes,yes,yes,5950000.0
semi-furnished,7020.0,3.0,1.0,1.0,2.0,no,yes,no,yes,yes,yes,5950000.0
furnished,6540.0,3.0,,1.0,2.0,yes,yes,no,no,yes,yes,5950000.0
semi-furnished,7231.0,3.0,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,5950000.0
semi-furnished,6254.0,4.0,2.0,1.0,1.0,no,,no,no,yes,yes,5950000.0
furnished,7320.0,4.0,2.0,2.0,0.0,no,no,no,no,yes,no,5950000.0
furnished,6525.0,3.0,2.0,4.0,1.0,no,no,no,no,yes,no,5950000.0
semi-furnished,15600.0,3.0,1.0,1.0,,no,no,no,yes,yes,no,5943000.0
unfurnished,7160.0,3.0,1.0,1.0,2.0,no,yes,no,no,yes,yes,5880000.0
unfurnished,6500.0,3.0,2.0,3.0,0.0,no,no,no,yes,yes,no,5880000.0
furnished,5500.0,3.0,1.0,3.0,1.0,yes,no,no,yes,yes,no,5873000.0
semi-furnished,11460.0,3.0,1.0,3.0,2.0,no,no,no,no,,yes,5873000.0
unfurnished,4800.0,3.0,1.0,1.0,0.0,yes,yes,no,no,yes,no,5866000.0
semi-furnished,,4.0,1.0,4.0,0.0,yes,no,no,no,yes,no,5810000.0
semi-furnished,,3.0,1.0,3.0,0.0,no,,no,yes,yes,no,5810000.0
unfurnished,4800.0,3.0,1.0,3.0,0.0,no,no,no,yes,yes,no,5810000.0
semi-furnished,7000.0,3.0,1.0,1.0,2.0,no,yes,no,no,yes,yes,5803000.0
unfurnished,6000.0,3.0,2.0,4.0,0.0,no,no,no,yes,yes,,5775000.0
unfurnished,5400.0,4.0,2.0,2.0,2.0,no,no,no,yes,yes,no,5740000.0
semi-furnished,4640.0,4.0,1.0,2.0,1.0,no,no,no,no,yes,no,5740000.0
semi-furnished,5000.0,3.0,1.0,3.0,0.0,no,no,no,yes,yes,no,5740000.0
furnished,6360.0,3.0,1.0,1.0,2.0,yes,yes,no,yes,yes,yes,5740000.0
unfurnished,5800.0,3.0,2.0,4.0,0.0,no,no,no,yes,yes,no,5740000.0
semi-furnished,6660.0,4.0,2.0,2.0,1.0,yes,yes,no,no,yes,yes,5652500.0
semi-furnished,10500.0,4.0,2.0,2.0,1.0,no,no,no,no,yes,no,5600000.0
unfurnished,4800.0,5.0,2.0,3.0,0.0,no,yes,yes,no,no,no,5600000.0
furnished,4700.0,4.0,1.0,2.0,1.0,yes,yes,no,yes,yes,no,5600000.0
furnished,5000.0,3.0,1.0,4.0,0.0,no,no,no,no,yes,no,5600000.0
semi-furnished,10500.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,5600000.0
semi-furnished,5500.0,3.0,2.0,2.0,1.0,no,no,no,no,yes,no,5600000.0
semi-furnished,6360.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,yes,5600000.0
semi-furnished,6600.0,4.0,2.0,1.0,0.0,no,yes,no,no,yes,yes,5600000.0
unfurnished,5136.0,3.0,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,5600000.0
semi-furnished,4400.0,4.0,1.0,2.0,2.0,no,no,no,yes,yes,yes,5565000.0
furnished,5400.0,5.0,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,5565000.0
semi-furnished,3300.0,3.0,3.0,2.0,0.0,no,yes,no,no,yes,no,5530000.0
semi-furnished,3650.0,3.0,2.0,2.0,2.0,no,no,no,no,yes,no,5530000.0
furnished,6100.0,3.0,2.0,1.0,2.0,no,yes,no,no,yes,yes,5530000.0
semi-furnished,6900.0,3.0,1.0,1.0,0.0,yes,yes,no,no,yes,yes,5523000.0
furnished,2817.0,4.0,2.0,2.0,1.0,yes,yes,no,no,no,no,5495000.0
semi-furnished,7980.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,no,5495000.0
furnished,3150.0,3.0,2.0,1.0,0.0,yes,yes,no,yes,yes,no,5460000.0
furnished,6210.0,4.0,1.0,4.0,0.0,yes,no,no,yes,yes,no,5460000.0
semi-furnished,6100.0,3.0,1.0,3.0,0.0,yes,no,no,yes,yes,yes,5460000.0
semi-furnished,6600.0,4.0,2.0,2.0,0.0,yes,yes,no,no,yes,yes,5460000.0
semi-furnished,6825.0,3.0,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,5425000.0
furnished,6710.0,3.0,2.0,2.0,1.0,yes,yes,no,no,yes,yes,5390000.0
unfurnished,6450.0,3.0,2.0,1.0,0.0,yes,yes,yes,no,yes,no,5383000.0
unfurnished,7800.0,3.0,1.0,1.0,2.0,no,yes,no,yes,yes,yes,5320000.0
,4600.0,2.0,2.0,1.0,2.0,no,no,no,yes,yes,no,5285000.0
furnished,4260.0,4.0,1.0,2.0,0.0,no,yes,no,yes,yes,,5250000.0
semi-furnished,6540.0,4.0,2.0,2.0,0.0,no,no,no,yes,no,no,5250000.0
semi-furnished,5500.0,3.0,2.0,1.0,0.0,no,yes,no,no,yes,no,5250000.0
semi-furnished,10269.0,3.0,1.0,1.0,1.0,no,no,no,no,yes,yes,5250000.0
unfurnished,8400.0,3.0,1.0,2.0,2.0,yes,yes,no,yes,yes,yes,5250000.0
unfurnished,5300.0,4.0,2.0,1.0,0.0,no,no,no,yes,yes,yes,5250000.0
unfurnished,3800.0,3.0,1.0,2.0,1.0,yes,yes,no,no,yes,yes,5250000.0
semi-furnished,9800.0,4.0,2.0,2.0,2.0,yes,no,no,no,yes,no,5250000.0
furnished,8520.0,3.0,1.0,1.0,2.0,no,no,no,yes,yes,no,5250000.0
semi-furnished,6050.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,yes,5243000.0
semi-furnished,7085.0,3.0,1.0,1.0,2.0,yes,yes,no,no,yes,yes,5229000.0
semi-furnished,3180.0,3.0,2.0,2.0,2.0,no,no,no,no,yes,no,5215000.0
semi-furnished,4500.0,4.0,2.0,1.0,2.0,no,yes,no,yes,no,no,5215000.0
furnished,7200.0,3.0,1.0,2.0,1.0,yes,yes,no,no,yes,yes,5215000.0
semi-furnished,3410.0,3.0,1.0,2.0,0.0,no,no,no,yes,no,no,5145000.0
semi-furnished,7980.0,3.0,1.0,1.0,1.0,no,no,,no,yes,yes,5145000.0
furnished,3000.0,3.0,2.0,2.0,0.0,yes,yes,no,no,yes,no,5110000.0
unfurnished,3000.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,5110000.0
furnished,11410.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,yes,
semi-furnished,,3.0,1.0,1.0,0.0,,yes,no,yes,yes,yes,5110000.0
unfurnished,5720.0,2.0,1.0,2.0,0.0,no,,no,yes,yes,yes,5075000.0
semi-furnished,3540.0,2.0,1.0,1.0,0.0,yes,yes,no,no,no,no,5040000.0
furnished,7600.0,4.0,1.0,2.0,2.0,no,no,,yes,yes,no,5040000.0
semi-furnished,10700.0,3.0,1.0,2.0,0.0,yes,yes,no,no,yes,no,5040000.0
furnished,6600.0,3.0,1.0,1.0,0.0,,yes,no,no,yes,yes,5040000.0
semi-furnished,4800.0,2.0,1.0,1.0,0.0,yes,yes,no,no,yes,no,5033000.0
semi-furnished,8150.0,3.0,2.0,,0.0,yes,yes,no,no,yes,no,5005000.0
semi-furnished,4410.0,4.0,3.0,2.0,2.0,no,yes,no,no,yes,,4970000.0
semi-furnished,7686.0,3.0,1.0,1.0,0.0,yes,yes,yes,no,yes,no,4970000.0
semi-furnished,2800.0,3.0,2.0,2.0,1.0,no,yes,no,yes,no,no,4956000.0
semi-furnished,5948.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4935000.0
,4200.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,,4907000.0
semi-furnished,4520.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4900000.0
semi-furnished,4095.0,3.0,1.0,2.0,0.0,yes,yes,no,yes,no,no,4900000.0
semi-furnished,4120.0,2.0,1.0,1.0,1.0,no,yes,no,no,yes,no,4900000.0
semi-furnished,5400.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,4900000.0
semi-furnished,4770.0,3.0,1.0,1.0,0.0,yes,yes,no,no,,no,4900000.0
semi-furnished,6300.0,3.0,1.0,1.0,2.0,no,no,no,yes,yes,no,4900000.0
semi-furnished,5800.0,2.0,1.0,1.0,0.0,yes,yes,no,yes,yes,no,4900000.0
semi-furnished,3000.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4900000.0
semi-furnished,2970.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,no,4900000.0
unfurnished,6720.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,
semi-furnished,4646.0,3.0,1.0,2.0,2.0,yes,yes,no,no,yes,no,4900000.0
furnished,12900.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,no,4900000.0
semi-furnished,3420.0,4.0,2.0,2.0,2.0,no,yes,no,yes,yes,no,4893000.0
semi-furnished,4995.0,4.0,2.0,1.0,0.0,no,yes,no,no,yes,no,4893000.0
unfurnished,4350.0,2.0,1.0,1.0,0.0,no,yes,no,no,yes,no,4865000.0
unfurnished,4160.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,no,4830000.0
semi-furnished,6040.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,yes,4830000.0
furnished,6862.0,3.0,1.0,2.0,2.0,no,no,no,yes,yes,yes,4830000.0
semi-furnished,4815.0,2.0,1.0,1.0,0.0,no,no,no,yes,yes,yes,4830000.0
unfurnished,7000.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,4795000.0
semi-furnished,8100.0,4.0,1.0,4.0,2.0,no,yes,no,yes,yes,no,4795000.0
semi-furnished,3420.0,4.0,2.0,2.0,0.0,no,no,no,no,yes,no,4767000.0
semi-furnished,9166.0,2.0,1.0,1.0,2.0,no,yes,no,yes,yes,no,4760000.0
furnished,6321.0,3.0,1.0,2.0,1.0,no,yes,,yes,yes,no,4760000.0
unfurnished,10240.0,2.0,1.0,1.0,2.0,no,no,no,yes,yes,yes,4760000.0
semi-furnished,6440.0,2.0,1.0,1.0,3.0,no,no,no,yes,yes,no,4753000.0
semi-furnished,5170.0,3.0,1.0,4.0,0.0,no,no,no,yes,yes,no,4690000.0
furnished,6000.0,2.0,1.0,1.0,1.0,no,yes,no,yes,yes,no,4690000.0
semi-furnished,3630.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,no,4690000.0
semi-furnished,9667.0,4.0,2.0,2.0,1.0,yes,yes,no,no,yes,no,4690000.0
semi-furnished,5400.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,yes,4690000.0
semi-furnished,4320.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,yes,4690000.0
furnished,3745.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,4655000.0
unfurnished,4160.0,3.0,1.0,1.0,0.0,yes,yes,no,yes,yes,no,4620000.0
semi-furnished,3880.0,3.0,2.0,2.0,2.0,no,yes,no,no,yes,no,4620000.0
semi-furnished,5680.0,3.0,1.0,2.0,1.0,yes,no,no,yes,yes,no,4620000.0
semi-furnished,2870.0,2.0,1.0,2.0,0.0,yes,yes,no,no,yes,yes,4620000.0
semi-furnished,5010.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,4620000.0
semi-furnished,4510.0,4.0,2.0,2.0,0.0,no,yes,no,no,yes,no,4613000.0
furnished,4000.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,4585000.0
semi-furnished,3840.0,3.0,1.0,2.0,1.0,no,no,no,,yes,yes,4585000.0
semi-furnished,3760.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,no,4550000.0
furnished,3640.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4550000.0
furnished,2550.0,3.0,1.0,2.0,0.0,no,yes,no,no,yes,no,4550000.0
semi-furnished,5320.0,3.0,1.0,2.0,0.0,yes,yes,no,no,yes,yes,4550000.0
unfurnished,5360.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,yes,4550000.0
semi-furnished,3520.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,yes,4550000.0
unfurnished,8400.0,4.0,1.0,4.0,3.0,no,no,no,no,yes,no,4550000.0
semi-furnished,4100.0,2.0,2.0,1.0,0.0,yes,yes,no,no,yes,no,4543000.0
furnished,4990.0,4.0,2.0,2.0,0.0,yes,yes,no,,yes,yes,4543000.0
semi-furnished,3510.0,3.0,1.0,3.0,0.0,no,no,no,no,yes,no,4515000.0
semi-furnished,3450.0,,1.0,2.0,1.0,no,yes,no,no,yes,no,4515000.0
semi-furnished,9860.0,3.0,1.0,1.0,0.0,no,no,no,no,,no,4515000.0
furnished,3520.0,2.0,1.0,2.0,0.0,no,no,no,no,yes,yes,4515000.0
semi-furnished,4510.0,4.0,1.0,2.0,2.0,no,no,no,yes,yes,no,4480000.0
unfurnished,5885.0,2.0,1.0,1.0,1.0,no,no,no,yes,yes,no,4480000.0
furnished,4000.0,3.0,1.0,2.0,2.0,no,no,no,no,yes,no,4480000.0
,8250.0,3.0,1.0,1.0,0.0,no,no,no,no,yes,no,4480000.0
semi-furnished,4040.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,4480000.0
furnished,6360.0,2.0,1.0,1.0,,no,yes,no,yes,yes,no,4473000.0
furnished,3162.0,3.0,1.0,2.0,1.0,no,no,no,yes,yes,no,4473000.0
semi-furnished,3510.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,4473000.0
semi-furnished,3750.0,2.0,1.0,1.0,0.0,yes,yes,no,no,yes,no,4445000.0
semi-furnished,3968.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,4410000.0
semi-furnished,4900.0,2.0,1.0,2.0,0.0,no,yes,no,no,yes,no,4410000.0
semi-furnished,,3.0,1.0,2.0,0.0,no,no,no,no,yes,yes,4403000.0
unfurnished,4880.0,3.0,1.0,1.0,2.0,no,no,no,no,yes,yes,4403000.0
semi-furnished,4920.0,3.0,1.0,2.0,1.0,no,no,no,no,yes,no,4403000.0
semi-furnished,4950.0,4.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4382000.0
unfurnished,3900.0,3.0,1.0,2.0,0.0,no,no,no,no,yes,no,4375000.0
furnished,4500.0,3.0,,3.0,1.0,no,no,yes,no,yes,no,4340000.0
semi-furnished,1905.0,5.0,1.0,2.0,0.0,no,yes,no,no,no,no,4340000.0
semi-furnished,4075.0,3.0,1.0,1.0,2.0,yes,yes,no,no,yes,no,4340000.0
furnished,3500.0,4.0,1.0,2.0,2.0,no,no,no,no,yes,no,4340000.0
semi-furnished,6450.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,4340000.0
furnished,4032.0,2.0,1.0,1.0,0.0,no,yes,no,no,yes,no,4319000.0
semi-furnished,4400.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,4305000.0
semi-furnished,10360.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,yes,4305000.0
semi-furnished,3400.0,3.0,1.0,2.0,2.0,no,yes,no,no,yes,yes,4277000.0
furnished,6360.0,2.0,1.0,1.0,0.0,no,no,no,no,yes,no,4270000.0
unfurnished,6360.0,2.0,,2.0,0.0,no,no,no,no,yes,no,4270000.0
furnished,4500.0,2.0,1.0,1.0,2.0,no,no,no,yes,yes,no,4270000.0
unfurnished,2175.0,3.0,1.0,2.0,0.0,yes,yes,no,yes,no,no,4270000.0
furnished,4360.0,4.0,1.0,2.0,0.0,no,no,no,no,yes,no,4270000.0
furnished,7770.0,2.0,1.0,1.0,1.0,no,no,no,no,yes,no,4270000.0
semi-furnished,6650.0,3.0,1.0,2.0,0.0,yes,no,no,no,yes,no,4235000.0
furnished,2787.0,3.0,1.0,1.0,0.0,no,yes,no,no,yes,yes,4235000.0
unfurnished,5500.0,3.0,1.0,2.0,0.0,no,no,no,yes,yes,no,4200000.0
unfurnished,5040.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4200000.0
semi-furnished,5850.0,2.0,1.0,1.0,2.0,yes,yes,no,no,yes,no,4200000.0
semi-furnished,2610.0,4.0,3.0,2.0,0.0,no,no,no,no,no,no,4200000.0
unfurnished,2953.0,3.0,1.0,2.0,0.0,no,yes,no,yes,yes,no,4200000.0
semi-furnished,2747.0,4.0,2.0,,0.0,no,no,no,no,no,no,4200000.0
unfurnished,4410.0,2.0,1.0,1.0,1.0,no,no,no,no,no,no,4200000.0
semi-furnished,4000.0,4.0,2.0,2.0,0.0,no,no,no,no,no,no,4200000.0
semi-furnished,2325.0,3.0,1.0,2.0,0.0,no,no,no,no,no,no,4200000.0
semi-furnished,4600.0,3.0,2.0,2.0,1.0,no,no,no,yes,yes,no,4200000.0
